trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",20,2,5.501162675469654,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",25,0,0.36996303214579873,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,10,-59.48931283447836,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,0,-16.66861657084996,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",25,10,-33.45719414811543,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",35,18,30.052917466638362,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",25,15,18.84710551355651,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,8,5.1471802769115715,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",25,2,-64.72999244097106,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 1}",1
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",20,0,-28.359767676441603,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",25,0,-50.56151193103704,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,14,-0.7369910872174872,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",35,11,-6.122375072092298,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",25,15,6.4362578164236055,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",20,0,-22.816608611459184,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",25,9,11.883234973308166,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",20,3,21.291827301389265,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",25,3,2.141939624340506,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",35,21,23.431806242296645,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",20,10,-2.485611505153164,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,13,5.791317539766711,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",20,15,12.019479466232225,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",30,16,15.33659088553645,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",35,11,27.600153243326897,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",30,8,-28.003857859327184,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",20,6,5.726856478376074,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",30,12,24.023375414705107,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",20,13,7.013138523413766,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",30,13,21.83577842528184,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",25,1,31.426543491902542,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",20,10,8.186814670817242,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",25,3,33.784695566991594,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",20,6,27.7410093703867,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",25,7,27.32466671671478,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",20,10,20.63161810416651,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",20,14,11.725494687768672,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430968}",20,14,11.035414470132858,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480063}",20,0,20.461951427958287,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",25,11,25.920032879613355,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",25,15,15.547081972617455,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
