trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-58.645718064485784,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-34.70016415932028,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-157.41681660305176,"{0: 7, 1: 5, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,0,-83.85650138003452,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-122.29949235486256,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-67.66664890586368,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-117.5321963760578,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-79.17007096488084,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-179.66695861095656,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,0,-80.76277097415024,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",30,0,-132.66363915705836,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-44.068366242190564,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",35,6,-139.0017785688789,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 2}",1
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-127.60888570113838,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-170.24528322886755,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-107.11447477564431,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,11,-53.723992228937746,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-134.55142383927694,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",30,0,-149.5680661091427,"{0: 21, 1: 0, 2: 6, 3: 0, 4: 3}",1
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-99.76681724314267,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-132.87324772478811,"{0: 7, 1: 4, 2: 8, 3: 0, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,4,-72.80738408895338,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 0}",1
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-169.80059789194647,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520296}",20,0,-68.50038972819401,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",30,0,-115.5830963048774,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",30,0,-219.40864718167575,"{0: 16, 1: 4, 2: 6, 3: 0, 4: 4}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-121.68902035070951,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,10,-53.67259947359503,"{0: 4, 1: 0, 2: 6, 3: 0, 4: 0}",1
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,0,-149.75788007786227,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",30,0,-67.61783219862635,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",30,8,-68.22955648838824,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 0}",1
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,0,-64.6780656296911,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",30,0,-157.564981511273,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,5,-20.10790987654144,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 0}",1
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,0,-78.03237718527024,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,0,-62.65526884185222,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",30,0,-120.88430725988313,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,0,-50.51586262497851,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",30,9,-60.58976015106452,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 0}",1
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",30,0,-98.93733522980885,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,0,-93.84068252426384,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-137.52314993662608,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-139.53667434450128,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",30,0,-90.43782609049283,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",30,3,-91.11458976148012,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 1}",1
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",25,0,-142.5352814058455,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",25,0,-97.33786975687758,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,0,-129.85326792162516,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",20,0,-31.911435158089592,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,0,-65.94789485676976,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-115.22909052802925,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",35,13,-7.97102136756218,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
53,False,"{'a': 0.01, 'e': 0.862807070514761}",20,0,-123.27558282745474,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-108.06253493465879,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-79.19210511762053,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",30,0,-104.97423500395448,"{0: 16, 1: 8, 2: 3, 3: 3, 4: 0}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,0,-43.14262776801805,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-84.90998582878541,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",35,7,-74.71451220182048,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 1}",1
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,0,-61.35401517224222,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-142.7352451355307,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",25,0,-51.22694283495417,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-106.12853196690132,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",30,0,-189.4218459347435,"{0: 17, 1: 5, 2: 4, 3: 1, 4: 3}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490558}",25,0,-73.29866241820768,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",30,0,-26.53511177750801,"{0: 22, 1: 5, 2: 3, 3: 0, 4: 0}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",30,0,-76.09008063701347,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",30,0,-109.59377372768314,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",25,0,-50.10981240286393,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",1
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",30,18,-24.378102956213553,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
